date,price (in lakhs),bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,years_since_reno,log_sqft_living,dist_to_seattle,dist_to_seattle_km,luxury_score
2015-01-24,6.5,4,3.0,2950,5000,2.0,0,3,3,9,1980,970.0,1979,0,98126,47.5714,-122.375,2140,4000,36,36,7.989899374942939,0.0552399312092308,5.032356831024947,15
2014-07-31,3.95,3,2.0,1890,14040,2.0,0,0,3,7,1890,0.0,1994,0,98019,47.7277,-121.962,1890,14018,21,21,7.544861068658458,0.3895333875292267,30.83178821530647,10
2014-05-29,4.85,4,1.0,1600,4300,1.5,0,0,4,7,1600,0.0,1916,0,98103,47.6648,-122.343,1610,4300,99,99,7.3783837129967145,0.059605117229982525,6.5670067246591355,11
2014-12-05,1.89,2,1.0,1200,9850,1.0,0,0,4,7,1200,0.0,1921,0,98002,47.3089,-122.21,1060,5095,94,94,7.0909098220799835,0.32139648411269334,34.30913132708103,11
2015-04-24,2.3,3,1.0,1250,9774,1.0,0,0,4,7,1250,0.0,1969,0,98003,47.3343,-122.306,1280,8850,46,46,7.1316985104669115,0.27314981237409114,30.297481248802423,11
2014-05-14,3.85,4,1.75,1620,4980,1.0,0,0,4,7,860,760.0,1947,0,98133,47.7025,-122.341,1400,4980,68,68,7.390798521735676,0.09671039240950183,10.728801195846218,11
2014-08-26,20.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720.0,1968,0,98040,47.5316,-122.233,4110,20336,47,47,8.02322468471667,0.12404019509819851,11.139394230993993,16
2014-07-03,2.85,5,2.5,2270,6300,2.0,0,0,3,8,2270,0.0,1995,0,98092,47.3266,-122.169,2240,7005,20,20,7.7279755421055585,0.32369394495418224,33.42016200363767,11
2014-05-16,2.527,2,1.5,1070,9643,1.0,0,0,3,7,1070,0.0,1985,0,98030,47.3533,-122.166,1220,8386,30,30,6.976348070447749,0.30256837243836643,30.767126182256714,10
2014-11-20,3.29,3,2.25,2450,6500,2.0,0,0,4,8,2450,0.0,1985,0,98030,47.3739,-122.172,2200,6865,30,30,7.804251383528112,0.2821263901162048,28.49426428478462,12
2014-11-03,2.33,3,2.0,1710,4697,1.5,0,0,5,6,1710,0.0,1941,0,98002,47.3048,-122.218,1030,4705,74,74,7.444833273892193,0.32227437068435816,34.59467758799816,11
2014-06-26,9.37,3,1.75,2450,2691,2.0,0,0,3,8,1750,700.0,1915,0,98119,47.6386,-122.36,1760,3573,100,100,7.804251383528112,0.04275710467278917,4.1655632623030785,11
2014-12-01,6.67,3,1.0,1400,1581,1.5,0,0,5,8,1400,0.0,1909,0,98112,47.6221,-122.314,1860,3861,106,106,7.244941546337007,0.024091907354964845,2.228586995223921,13
2014-06-24,4.38,3,1.75,1520,6380,1.0,0,0,3,7,790,730.0,1948,0,98115,47.695,-122.304,1520,6235,67,67,7.327123292259293,0.09313994846466019,10.09596543168844,10
2015-03-02,7.19,4,2.5,2570,7173,2.0,0,0,3,8,2570,0.0,2005,0,98052,47.7073,-122.11,2630,6026,10,10,7.852050207265889,0.24402790824001658,20.077179131290844,11
2014-11-10,5.805,3,2.5,2320,3980,2.0,0,0,3,8,2320,0.0,2003,0,98027,47.5391,-122.07,2580,3980,12,12,7.749753406274437,0.27055280445784047,21.030297669243172,11
2014-12-01,2.8,2,1.5,1190,1265,3.0,0,0,3,7,1190,0.0,2005,0,98133,47.7274,-122.357,1390,1756,10,10,7.0825485693553,0.12373136223286538,13.605201690205835,10
2014-06-24,6.875,4,1.75,2330,5000,1.5,0,0,4,7,1510,820.0,1929,0,98117,47.6823,-122.368,1460,5000,86,86,7.754052639035757,0.08414285471743492,8.879051927491092,11
2014-11-10,5.35,3,1.0,1090,3000,1.5,0,0,4,8,1090,0.0,1929,0,98117,47.6889,-122.375,1570,5080,86,86,6.994849985833071,0.0931649075564374,9.741191420178763,12
2014-12-03,3.225,4,2.75,2060,6659,1.0,0,0,3,7,1280,780.0,1981,0,98058,47.4276,-122.157,2020,8720,34,34,7.630946580890459,0.25011591312829584,23.81825448437282,10
2014-06-13,6.96,3,2.5,2300,3060,1.5,0,0,3,8,1510,790.0,1930,2002,98115,47.6827,-122.31,1590,3264,85,13,7.741099090035366,0.079628261314681,8.666033942944539,11
2014-05-28,5.5,4,1.0,1660,34848,1.0,0,0,1,5,930,730.0,1933,0,98052,47.6621,-122.132,2160,11467,82,82,7.415175109613295,0.20776144974464564,16.23086715494975,6
2014-12-30,6.4,4,2.0,2360,6000,2.0,0,0,4,8,2360,0.0,1904,0,98107,47.6702,-122.362,1730,4700,111,111,7.766840537085513,0.07064000283125615,7.460755353606466,12
2015-02-13,2.4,4,1.0,1220,8075,1.0,0,0,2,7,890,330.0,1969,0,98001,47.3341,-122.282,1290,7800,46,46,7.107425474110705,0.27667385131233674,30.48958541641845,9
2014-06-20,6.05,4,2.5,2620,7553,2.0,0,0,3,8,2620,0.0,1996,0,98056,47.5301,-122.18,2620,11884,19,19,7.8713112033234065,0.1700753362483743,14.206363540213868,11
2014-07-15,6.25,4,2.5,2570,5520,2.0,0,0,3,9,2570,0.0,2000,0,98074,47.6145,-122.027,2470,5669,15,15,7.852050207265889,0.3052128765304595,22.89016686514036,12
2014-08-11,7.75,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620.0,1984,0,98166,47.445,-122.347,2410,30617,31,31,8.347827345782498,0.16188715205352217,17.959502601695302,11
2014-07-07,8.6199,5,2.75,3595,5639,2.0,0,0,3,9,3595,0.0,2014,0,98053,47.6848,-122.016,3625,5639,1,1,8.18757739559151,0.32572560537973516,25.241612172117716,12
2014-10-28,6.85,3,1.0,1570,2280,2.0,0,0,3,7,1570,0.0,1922,0,98119,47.6413,-122.364,1580,2640,93,93,7.359467638255621,0.04743015918169012,4.576965467520074,10
2014-07-29,3.09,3,1.0,1280,9656,1.0,0,0,4,6,920,360.0,1959,0,98058,47.4485,-122.175,1340,8808,56,56,7.155396301896734,0.22259761903488418,21.13353209177105,10
2014-07-18,4.88,3,2.5,3160,13603,2.0,0,0,3,8,3160,0.0,2003,0,98019,47.7443,-121.977,3050,9232,12,12,8.058643712215618,0.3810086875649891,30.702744748933704,11
2015-03-25,2.1049,3,1.0,990,8528,1.0,0,0,3,6,990,0.0,1966,0,98023,47.3066,-122.371,1228,8840,49,49,6.898714534329988,0.3021148291626856,33.44213299802523,9
2014-07-16,7.85,4,2.5,2290,13416,2.0,0,0,4,9,2290,0.0,1981,0,98007,47.6194,-122.151,2680,13685,34,34,7.736743682453495,0.18158042295357776,13.654489508825437,13
2015-04-28,4.5,3,1.75,1250,5963,1.0,0,0,4,7,1250,0.0,1953,0,98115,47.6796,-122.301,970,5100,62,62,7.1316985104669115,0.07971681127591351,8.487759517256832,11
2015-03-11,13.5,3,2.5,2753,65005,1.0,1,2,5,9,2165,588.0,1953,0,98070,47.4041,-122.451,2680,72513,62,62,7.9208096792886,0.23448159842512112,24.18218624231803,19
2014-09-16,2.28,3,1.0,1190,9199,1.0,0,0,3,7,1190,0.0,1955,0,98148,47.4258,-122.322,1190,9364,60,60,7.0825485693553,0.1806825116053002,20.073900050959853,10
2015-02-17,3.45,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510.0,1966,0,98056,47.4934,-122.189,1990,9133,49,49,8.055475141757274,0.18221265049386978,16.512550826320137,12
2014-12-31,6.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410.0,1950,0,98117,47.6808,-122.384,1410,4080,65,65,7.2520539518528135,0.0908777750607917,9.161182089646985,11
2015-02-05,5.85,2,1.75,1980,8550,1.0,0,0,3,7,990,990.0,1981,0,98117,47.6989,-122.369,1480,6738,34,34,7.591357046698551,0.09977424517379388,10.671902407556654,10
2015-03-03,9.2,5,2.25,2730,6000,1.5,0,0,3,8,2130,600.0,1927,0,98105,47.6571,-122.281,2730,6000,88,88,7.912423121473705,0.07212503032927572,6.833421619770134,11
2014-05-12,8.85,4,2.5,2830,5000,2.0,0,0,3,9,2830,0.0,1995,0,98105,47.6597,-122.29,1950,5000,20,20,7.9483852851118995,0.0680783372299822,6.733603975198377,12
2014-08-19,2.925,4,2.5,2250,4495,2.0,0,0,3,7,2250,0.0,2008,0,98042,47.3663,-122.114,2250,4500,7,7,7.719129840906732,0.32422156004805747,31.30766819840886,10
2015-04-07,3.01,3,2.5,2420,4750,2.0,0,0,3,8,2420,0.0,2003,0,98042,47.3663,-122.122,2690,4750,12,12,7.791935956938058,0.31889499839288504,30.9972300587798,11
2014-08-27,9.51,5,3.25,3250,14342,2.0,0,4,4,8,3250,0.0,1968,0,98008,47.588,-122.116,2960,11044,47,47,8.086717920303906,0.21686505020403551,16.329742362699154,16
2015-02-23,4.3,4,3.0,1850,9976,2.0,0,0,3,8,1850,0.0,1991,0,98059,47.5059,-122.149,2270,8542,24,24,7.523481312573497,0.20877188508034172,17.696848562175237,11
2014-12-10,6.5,3,2.25,2150,21235,1.0,0,3,4,8,1590,560.0,1959,0,98166,47.4336,-122.339,2570,18900,56,56,7.67368812926773,0.17273786498622987,19.19923742858596,15
2014-08-28,2.89,3,1.75,1260,8400,1.0,0,0,3,7,1260,0.0,1954,0,98148,47.4366,-122.335,1290,8750,61,61,7.139660335964919,0.16962479182006643,18.859916809123547,10
2014-10-21,5.05,3,1.75,2519,8690,2.0,0,0,5,8,2519,0.0,1973,0,98166,47.4428,-122.344,2500,9500,42,42,7.832014180505469,0.16383275008373896,18.191209092585513,13
2014-12-07,5.49,3,1.75,1540,1044,3.0,0,0,3,8,1540,0.0,2014,0,98115,47.6765,-122.32,1580,3090,1,1,7.340186835320115,0.07133372274036687,7.869392290529041,11
2014-06-03,4.25,3,2.25,1660,6000,1.0,0,0,3,7,1110,550.0,1979,0,98122,47.6113,-122.297,1440,4080,36,36,7.415175109613295,0.03546857764275276,2.691738414425751,10
2014-11-20,3.17625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000.0,1925,0,98144,47.5747,-122.304,1440,4000,90,90,7.9269635448629785,0.0422120835780442,4.08768616783561,12
2014-09-09,9.75,4,2.5,2720,11049,2.0,0,0,3,10,2720,0.0,1989,0,98004,47.5815,-122.192,2750,11049,26,26,7.908754738783246,0.14226067622502442,10.858867233013557,13
2014-10-09,2.87,4,2.5,2240,4648,2.0,0,0,3,7,2240,0.0,2005,0,98001,47.3378,-122.257,2221,4557,10,10,7.714677473800927,0.27870875479611085,30.37382784729899,10
2014-08-25,2.04,3,1.0,1000,12070,1.0,0,0,4,7,1000,0.0,1968,0,98042,47.3621,-122.11,1010,12635,47,47,6.90875477931522,0.33002002969516925,31.863276567138584,11
2014-06-12,13.25,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600.0,1965,0,98004,47.6303,-122.215,3390,20158,50,50,8.071218539969863,0.11955425546586933,9.176962656448039,11
2014-09-12,10.4,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700.0,1973,0,98005,47.6525,-122.16,3530,38917,42,42,8.470311205516108,0.1782192469965024,13.886274533418264,15
2015-01-05,3.25,3,2.0,1260,5612,1.0,0,0,4,7,1260,0.0,1972,0,98034,47.7362,-122.179,1640,4745,43,43,7.139660335964919,0.2008472305011878,18.449171812367613,11
2014-06-10,5.71,4,2.0,2750,7807,1.5,0,0,5,7,2250,500.0,1916,0,98125,47.7168,-122.287,1510,7807,99,99,7.919719760924575,0.11944191056743331,12.753537390432035,12
2014-07-10,3.6,4,2.5,2380,5000,2.0,0,0,3,8,2380,0.0,2005,0,98038,47.3608,-122.036,2420,5000,10,10,7.7752758464868625,0.3845729709690986,35.20911300530127,11
2015-03-16,3.49,3,1.75,1790,50529,1.0,0,0,5,7,1090,700.0,1965,0,98042,47.3511,-122.073,1940,50529,50,50,7.490529402060711,0.36360530799206064,34.406084244461226,12
2014-11-05,8.325,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040.0,1986,0,98075,47.5822,-121.987,3240,35020,29,29,8.14060704285845,0.3459335340784434,26.015340425323885,14
2014-10-13,3.8,4,1.75,1760,7300,1.0,0,0,3,7,880,880.0,1956,0,98008,47.6034,-122.125,1680,7500,59,59,7.473637108496206,0.20711892718918457,15.52984379501358,10
2015-04-20,4.8,3,1.0,1040,5060,1.0,0,0,3,7,1040,0.0,1941,0,98116,47.5636,-122.394,890,5060,74,74,6.947937068614969,0.07514233161142306,6.632603409386118,10
2014-06-09,4.1,3,1.0,1410,5060,1.0,0,0,4,7,910,500.0,1956,0,98133,47.7073,-122.34,1130,5693,59,59,7.2520539518528135,0.10140818507398282,11.257367575334058,11
2015-03-23,7.2,4,2.5,3450,39683,2.0,0,0,3,10,3450,0.0,2002,0,98010,47.342,-122.025,3350,39750,13,13,8.146419323098003,0.4051074548807957,37.36034780593175,13
2014-12-02,3.9,3,2.5,2350,5100,2.0,0,0,3,8,2350,0.0,2003,0,98038,47.3512,-122.008,2350,5363,12,12,7.762596048540069,0.4123903611870702,37.379762094491504,11
2014-12-22,3.6,4,2.5,1900,5889,2.0,0,0,3,7,1900,0.0,1992,0,98038,47.349,-122.031,1870,6405,23,23,7.550135342488429,0.3959962752350039,36.46898029080617,10
2014-10-28,3.55,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010.0,1948,0,98118,47.5474,-122.291,1720,6720,67,67,7.611347717403621,0.0717401561191483,7.228677023813701,10
2015-01-28,3.56,3,1.5,1680,8712,1.0,0,0,3,8,1680,0.0,1964,0,98059,47.4811,-122.149,1850,8797,51,51,7.427144133408616,0.2217557665541065,19.554620820064773,11
2014-06-02,3.15,3,1.0,960,6634,1.0,0,0,3,6,960,0.0,1952,0,98125,47.7264,-122.31,1570,7203,63,63,6.8679744089702925,0.12221476997482358,13.467697481397025,9
2014-11-14,9.4,3,1.5,2140,3600,2.0,0,0,3,9,1900,240.0,1925,0,98119,47.6337,-122.365,2020,4800,90,90,7.669028288589683,0.04287959887871691,3.928233361363686,12
2014-11-03,3.05,5,2.25,2660,8400,1.5,0,0,5,7,2660,0.0,1961,0,98092,47.2909,-122.189,1590,8165,54,54,7.886457270977689,0.3462538086433152,36.67388950181453,12
2014-06-18,4.61,3,3.25,2770,6278,2.0,0,0,3,9,1980,790.0,2006,0,98056,47.5228,-122.199,1900,7349,9,9,7.9269635448629785,0.15707058922662914,13.628290204534025,12
2014-05-19,2.15,2,2.25,1610,2040,2.0,0,0,4,7,1610,0.0,1979,0,98056,47.518,-122.194,1950,2025,36,36,7.384610383176974,0.16386228974354813,14.267372701079115,11
2014-09-04,3.35,2,1.75,1030,1066,2.0,0,0,3,7,765,265.0,2006,0,98136,47.5394,-122.387,1030,1106,9,9,6.93828448401696,0.0864653109634174,8.49320031264798,10
2014-05-22,2.435,4,2.5,1980,7403,2.0,0,0,3,7,1980,0.0,1988,0,98023,47.2897,-122.372,1980,7510,27,27,7.591357046698551,0.3190051096769436,35.3208564017583,10
2015-03-11,10.9988,5,2.75,3520,6353,2.0,0,0,4,10,3520,0.0,2001,0,98199,47.6506,-122.391,2520,6250,14,14,8.166500319155052,0.07376021963091374,6.6224401152025,14
2015-02-26,1.53,3,1.0,1200,10500,1.0,0,0,3,7,1200,0.0,1962,0,98023,47.322,-122.351,1350,10500,53,53,7.0909098220799835,0.28482775496780366,31.633520248291852,10
2014-07-25,4.3,3,1.5,1580,5000,1.0,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.386,1570,4500,76,76,7.3658128372094716,0.09712800831891533,9.850162032574737,11
2014-12-23,7.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.386,1570,4500,76,76,7.3658128372094716,0.09712800831891533,9.850162032574737,11
2014-09-08,9.05,4,2.5,3300,10250,1.0,0,0,3,7,2390,910.0,1946,1991,98040,47.5873,-122.249,1950,6045,69,24,8.101980731853192,0.08522218021149405,6.576000688927909,10
2015-03-30,2.475,3,1.75,1960,15681,1.0,0,0,3,7,1960,0.0,1967,0,98032,47.3576,-122.277,1750,15616,48,48,7.581209826196346,0.25463301042873676,27.95145150415412,10
2014-09-12,1.99,4,1.5,1160,6400,1.0,0,0,4,7,1160,0.0,1975,0,98023,47.3036,-122.378,1160,6400,40,40,7.057036981697891,0.30606138273228656,33.82409970671498,11
2014-07-11,3.14,3,1.75,1810,41800,1.0,0,0,5,7,1210,600.0,1980,0,98038,47.4109,-121.958,1650,135036,35,35,7.501634457883413,0.4220105448919495,35.51238099433078,12
2014-05-16,4.375,3,2.5,2320,36847,2.0,0,2,3,9,2320,0.0,1992,0,98045,47.4838,-121.714,2550,35065,23,23,7.749753406274437,0.6301026662378105,48.34826810696203,14
2014-06-11,8.5083,3,2.5,2070,13241,1.5,0,0,5,9,1270,800.0,1910,0,98102,47.6415,-122.315,2200,4500,105,105,7.635786861395585,0.039223717314909534,4.129095748598122,14
2014-10-27,5.55,3,2.0,1980,3478,1.5,0,0,4,7,1440,540.0,1929,0,98117,47.6775,-122.372,1610,3478,86,86,7.591357046698551,0.08170495700996573,8.473018821613701,11
2014-12-12,6.9995,3,2.25,2190,107593,2.0,0,0,4,8,2190,0.0,1983,0,98077,47.7731,-122.08,2570,47777,32,32,7.692113339595466,0.3023409003095657,26.466641140697885,12
2014-10-07,10.88,3,2.5,2920,8113,2.0,0,0,3,8,2920,0.0,1950,2010,98004,47.5814,-122.196,2370,8113,65,5,7.979681302387741,0.13834106404101307,10.571845737357537,11
2014-09-24,2.9,3,1.0,1210,33919,1.0,0,0,3,7,1210,0.0,1954,0,98058,47.4375,-122.184,1640,14910,61,61,7.099201743553092,0.22448452062447477,21.80733698668187,10
2015-04-02,3.75,3,2.5,2340,10005,1.0,0,0,4,8,1460,880.0,1978,0,98058,47.4431,-122.133,2250,8162,37,37,7.75833346749091,0.25737602840979684,23.503329858633663,12
2014-05-23,4.6,3,1.0,1670,4005,1.5,0,0,4,7,1170,500.0,1939,0,98117,47.6878,-122.38,1240,4005,76,76,7.421177528595393,0.0946201352778579,9.75726185092507,11
2014-07-23,1.885,2,1.75,1240,2493,1.0,0,0,4,8,1240,0.0,1985,0,98198,47.3813,-122.322,1270,4966,30,30,7.123672785204607,0.22512667545184206,25.019249016778836,12
2015-03-05,6.8,4,2.5,3140,28037,2.0,0,0,4,10,3140,0.0,1991,0,98077,47.7304,-122.082,2990,35001,24,24,8.052296499538647,0.27924120397964575,23.269192014486574,14
2014-08-27,4.7,5,1.75,2030,12342,2.0,0,0,4,7,2030,0.0,1942,0,98052,47.6417,-122.109,2500,9433,73,73,7.616283561580385,0.2259067506738144,17.179800217415572,11
2014-07-25,5.9775,4,2.5,2310,9624,2.0,0,0,3,8,2310,0.0,1984,0,98027,47.5386,-122.053,1940,9636,31,31,7.745435610274381,0.2871699322700753,22.24606854617005,11
2015-03-04,5.7,3,1.75,1260,3328,1.0,0,0,5,6,700,560.0,1905,0,98103,47.6823,-122.349,1380,3536,110,110,7.139660335964919,0.07795396077172559,8.556124446388196,11
2014-09-16,2.725,3,1.75,1540,12600,1.0,0,0,4,7,1160,380.0,1980,0,98038,47.3624,-122.031,1540,11656,35,35,7.340186835320115,0.38742696085842393,35.310759839943145,11
2014-11-24,3.2995,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000.0,1971,0,98108,47.5474,-122.295,2090,5500,44,44,7.640603826393634,0.06952589445666563,7.105891753980276,12
2014-10-28,4.8,4,2.5,3230,16171,2.0,0,3,3,9,2520,710.0,2001,0,98001,47.3183,-122.253,2640,8517,14,14,8.080546965824498,0.298568618578711,32.56060790206902,15
2014-11-21,7.405,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600.0,1900,1999,98117,47.6981,-122.368,1830,6350,115,16,8.385032287813898,0.09866316435224962,10.566702517971784,11
2014-06-26,5.185,3,3.5,1590,1102,3.0,0,0,3,8,1590,0.0,2010,0,98103,47.6824,-122.347,1620,3166,5,5,7.372118028337787,0.07764309370446237,8.54626391548234,11
2014-06-23,2.05425,2,1.0,880,6780,1.0,0,0,4,6,880,0.0,1945,0,98178,47.5009,-122.248,1190,6780,70,70,6.78105762593618,0.13476238347550346,13.301482642156284,10
2015-01-08,1.718,4,2.0,1570,9600,1.0,0,0,3,6,1570,0.0,1950,0,98168,47.4965,-122.303,1880,9000,65,65,7.359467638255621,0.11349405270762336,12.39204290335163,9
2015-05-11,5.35,4,1.0,1610,2982,1.5,0,0,4,7,1610,0.0,1925,0,98144,47.587,-122.294,1610,4040,90,90,7.384610383176974,0.042664387959982744,3.56647940483243,11
2015-01-02,6.6,3,2.5,2400,6474,1.0,0,2,3,8,1560,840.0,1964,0,98177,47.7728,-122.386,2340,10856,51,51,7.783640596221253,0.1751021701750105,18.959301885692906,13
2014-11-19,3.915,3,2.0,1450,9132,1.0,0,0,3,7,1450,0.0,1987,0,98034,47.7288,-122.226,1580,9104,28,28,7.280008252884188,0.1621356530809901,15.77871843529189,10
2015-04-06,3.95,2,1.0,770,6000,1.0,0,0,3,6,770,0.0,1953,0,98117,47.6999,-122.364,1710,6000,62,62,6.647688373563329,0.09898131136734933,10.689437268039727,9
2014-11-04,4.45,4,1.75,2100,4400,1.5,0,0,5,7,1720,380.0,1924,0,98118,47.5299,-122.266,1850,4400,91,91,7.650168700845001,0.10094998761762879,9.827218422887077,12
2014-06-18,7.7,3,2.25,2910,10204,2.0,0,0,3,9,2910,0.0,1990,0,98052,47.6897,-122.098,2700,13992,25,25,7.976251943745623,0.24854589113481473,19.84276016332865,12
2015-03-02,14.5,4,2.75,2750,17789,1.5,0,0,3,8,1980,770.0,1914,1992,98004,47.6141,-122.212,3060,11275,101,23,7.919719760924575,0.12035954469836808,9.045983285047825,11
2014-07-17,4.45,3,2.25,2100,8201,1.0,0,2,3,8,1620,480.0,1967,0,98178,47.5091,-122.244,2660,8712,48,48,7.650168700845001,0.13111071657191262,12.660213657589567,13
2014-07-17,2.6,4,2.25,2160,8811,1.0,0,0,3,8,1360,800.0,1978,0,98023,47.3129,-122.39,2090,8400,37,37,7.6783263565068856,0.298960365266036,32.90267962854373,11
2014-06-13,8.225,5,3.5,2320,4960,2.0,0,0,5,7,1720,600.0,1926,0,98103,47.6763,-122.352,1700,4960,89,89,7.749753406274437,0.07286988403997761,7.936066340194634,12
2015-04-06,4.3,4,2.5,2070,4310,2.0,0,0,3,7,2070,0.0,2004,0,98065,47.5319,-121.85,1970,3748,11,11,7.635786861395585,0.4877918613507227,37.10028255318879,10
2015-01-05,2.12,3,1.75,1060,7875,1.0,0,0,4,7,1060,0.0,1986,0,98092,47.2761,-122.152,1420,7680,29,29,6.966967138613983,0.37603459947190976,39.12474058241122,11
2015-04-28,6.605,4,2.25,2010,9603,1.0,0,0,3,8,1440,570.0,1986,0,98027,47.5343,-122.054,2060,9793,29,29,7.606387389772652,0.28724418183837436,22.34287837250864,11
2014-06-12,7.84,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490.0,1989,0,98052,47.697,-122.072,2480,88500,26,26,8.281723990411392,0.2754934663472026,21.943517266398636,12
2014-05-12,4.53246,3,2.5,2010,2287,2.0,0,0,3,8,1390,620.0,2014,0,98029,47.5517,-121.998,1690,1662,1,1,7.606387389772652,0.33851596712709925,25.78285691735893,11
2015-01-26,6.75,4,3.5,2140,2278,3.0,0,0,3,9,2140,0.0,2005,0,98107,47.6734,-122.38,1540,2285,10,10,7.669028288589683,0.08252423886349887,8.289418184019608,12
2014-08-13,1.99,3,1.75,1320,17390,1.0,0,0,4,7,1320,0.0,1956,0,98003,47.3257,-122.296,1550,19265,59,59,7.186144304522325,0.28281347209777913,31.308003345170487,11
2014-08-05,2.2,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010.0,1968,0,98003,47.3309,-122.299,1750,8140,47,47,7.611347717403621,0.2772827077190356,30.712905373252305,10
2014-05-29,4.52,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250.0,1968,0,98028,47.7689,-122.266,1550,10436,47,47,7.85979918056211,0.17561463492545035,18.755800567664817,12
2014-07-07,3.825,2,1.0,1190,4440,1.0,0,0,3,6,1190,0.0,1981,0,98125,47.7135,-122.287,1060,5715,34,34,7.0825485693553,0.11639286919738527,12.400106145901416,9
2014-05-07,5.1995,3,2.25,1170,1249,3.0,0,0,3,8,1170,0.0,2014,0,98107,47.6722,-122.381,1350,1310,1,1,7.065613363597717,0.08214140247158988,8.202549466040388,11
2014-06-27,6.65,2,1.0,1110,3200,1.0,0,0,3,7,1110,0.0,1925,0,98119,47.6338,-122.358,1170,3600,90,90,7.01301578963963,0.03784930646657015,3.6313838253638853,10
